[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Yield,9,2
Node 0,9,9
Node 1,9,0
Control Type,12,3
Cycle Length,12,60.0
Lock Timings,12,0
Referenced To,12,0
Reference Phase,12,206
Offset,12,41.0
Master,12,0
Yield,12,2
Node 0,12,12
Node 1,12,0
Control Type,16,3
Cycle Length,16,80.0
Lock Timings,16,0
Referenced To,16,0
Reference Phase,16,2
Offset,16,0.0
Master,16,0
Yield,16,2
Node 0,16,16
Node 1,16,0
Control Type,17,1
Cycle Length,17,115.0
Lock Timings,17,0
Referenced To,17,0
Reference Phase,17,206
Offset,17,0.0
Master,17,0
Yield,17,0
Node 0,17,17
Node 1,17,24
Node 2,17,0
Control Type,25,0
Cycle Length,25,45.0
Lock Timings,25,0
Referenced To,25,0
Reference Phase,25,6
Offset,25,0.0
Master,25,0
Yield,25,0
Node 0,25,25
Node 1,25,0


[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,NBR2,SBL2,SBL,SBT,SBR,EBL,EBT,EBR,EBR2,WBL2,WBL,WBT,WBR,NWL2,NWL,NWT,NWR,NWR2,SEL,SET,PED,HOLD
Up Node,3,5,5,5,,,4,4,4,1,1,1,,,6,6,6,,,,,,,,,
Dest Node,3,1,4,6,,,6,5,1,4,6,5,,,5,1,4,,,,,,,,,
Lanes,3,1,1,0,,,1,0,1,1,2,0,,,0,2,0,,,,,,,,,
Shared,3,0,2,,,,0,0,,0,0,,,,0,2,,,,,,,,,,
Width,3,3.7,3.7,3.7,,,3.7,3.7,3.7,3.7,3.7,3.7,,,3.7,3.7,3.7,,,,,,,,,
Storage,3,,,,,,,,,19.8,,45.7,,,45.7,,45.7,,,,,,,,,
Taper,3,,,,,,,,,7.6,,7.6,,,7.6,,7.6,,,,,,,,,
StLanes,3,,,,,,,,,1,,0,,,0,,0,,,,,,,,,
Grade,3,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,,40,,,,,40,,,40,,,,,40,,,,,,,,,,
Phase1,3,,4,,,,,,,,2,,,,,2,,,,,,,,,,
PermPhase1,3,4,,,,,4,,4,2,,,,,,,,,,,,,,,,
LostTime,3,4.5,4.5,4,,,4.5,4,4.5,4.5,4.5,4,,,4,4.5,4,,,,,,,,,
Lost Time Adjust,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
IdealFlow,3,1900,1900,1900,,,1900,1900,1900,1900,1900,1900,,,1900,1900,1900,,,,,,,,,
SatFlow,3,1674,1684,0,,,1630,0,1458,1690,3380,0,,,0,3163,0,,,,,,,,,
SatFlowPerm,3,1562,1684,0,,,1111,0,1344,785,3380,0,,,0,3163,0,,,,,,,,,
Allow RTOR,3,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,
SatFlowRTOR,3,0,35,0,,,0,0,98,0,0,0,,,0,24,0,,,,,,,,,
Volume,3,5,105,35,,,45,0,60,50,125,0,,,0,420,45,,,,,,,,,
Peds,3,71,0,17,,,17,0,71,21,0,18,,,18,0,21,,,,,,,,,
Bicycles,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
PHF,3,0.88,0.88,0.88,,,0.61,0.61,0.61,0.96,0.96,0.96,,,0.89,0.89,0.89,,,,,,,,,
Growth,3,100,100,100,,,100,100,100,100,100,100,,,100,100,100,,,,,,,,,
HeavyVehicles,3,9,9,9,,,12,12,12,8,8,8,,,13,13,13,,,,,,,,,
BusStops,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
Midblock,3,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
Distance,3,,58.2,,,,,54.6,,,63.1,,,,,100.6,,,,,,,,,,
TravelTime,3,,5.2,,,,,4.9,,,5.7,,,,,9.1,,,,,,,,,,
Right Channeled,3,,,0,,,,,0,,,0,,,,,0,,,,,,,,,
Alignment,3,0,0,1,,,0,0,1,0,0,1,,,0,0,1,,,,,,,,,
Enter Blocked,3,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
HeadwayFact,3,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,,,,,,,,,
Turning Speed,3,24,97,14,,,24,97,14,24,97,14,,,24,97,14,,,,,,,,,
FirstDetect,3,6.1,30.5,,,,6.1,,6.1,6.1,30.5,,,,,30.5,,,,,,,,,,
LastDetect,3,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,
DetectPhase1,3,4,4,,,,4,,4,2,2,,,,,2,,,,,,,,,,
DetectPhase2,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPhase3,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPhase4,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
SwitchPhase,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
numDetects,3,1,2,,,,1,,1,1,2,,,,,2,,,,,,,,,,
DetectPos1,3,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,
DetectSize1,3,6.1,1.8,,,,6.1,,6.1,6.1,1.8,,,,,1.8,,,,,,,,,,
DetectType1,3,3,3,,,,3,,3,3,3,,,,,3,,,,,,,,,,
DetectExtend1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectQueue1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectDelay1,3,0,0,,,,0,,0,0,0,,,,,0,,,,,,,,,,
DetectPos2,3,,28.7,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,3,,1.8,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,3,,3,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,3,,0,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,3,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
CBD,3,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,3,6,159,0,,,74,0,98,52,130,0,,,0,523,0,,,,,,,,,
Up Node,6,8,8,8,,,7,7,7,3,3,3,,,9,9,9,,,,,,,,,
Dest Node,6,3,7,9,,,9,8,3,7,9,8,,,8,3,7,,,,,,,,,
Lanes,6,0,0,0,,,0,1,0,1,2,0,,,1,1,0,,,,,,,,,
Shared,6,0,0,,,,0,3,,0,2,,,,0,2,,,,,,,,,,
Width,6,3.7,3.7,3.7,,,3.7,3.7,3.7,3.7,3.7,3.7,,,3.7,3.7,3.7,,,,,,,,,
Storage,6,,,,,,,,,22.9,,,,,,,,,,,,,,,,
Taper,6,,,,,,,,,7.6,,,,,,,,,,,,,,,,
StLanes,6,,,,,,,,,1,,,,,,,,,,,,,,,,
Grade,6,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,6,,40,,,,,40,,,40,,,,,40,,,,,,,,,,
Phase1,6,,,,,,,4,,5,2,,,,1,6,,,,,,,,,,
PermPhase1,6,,,,,,4,,,6,,,,,2,,,,,,,,,,,
LostTime,6,4,4,4,,,4.5,4.5,4,3.5,4.5,4,,,3.5,4.5,4,,,,,,,,,
Lost Time Adjust,6,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
IdealFlow,6,1900,1900,1900,,,1900,1900,1900,1900,1900,1900,,,1900,1900,1900,,,,,,,,,
SatFlow,6,0,0,0,,,0,1671,0,1722,3313,0,,,1659,1682,0,,,,,,,,,
SatFlowPerm,6,0,0,0,,,0,1655,0,428,3313,0,,,1090,1682,0,,,,,,,,,
Allow RTOR,6,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,
SatFlowRTOR,6,0,0,0,,,0,16,0,0,45,0,,,0,21,0,,,,,,,,,
Volume,6,0,0,0,,,25,60,15,25,135,40,,,205,450,105,,,,,,,,,
Peds,6,0,0,0,,,41,0,8,12,0,5,,,5,0,12,,,,,,,,,
Bicycles,6,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
PHF,6,0.92,0.92,0.92,,,0.79,0.79,0.79,0.88,0.88,0.88,,,0.96,0.96,0.96,,,,,,,,,
Growth,6,100,100,100,,,100,100,100,100,100,100,,,100,100,100,,,,,,,,,
HeavyVehicles,6,2,2,2,,,11,11,11,6,6,6,,,10,10,10,,,,,,,,,
BusStops,6,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
Midblock,6,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
Distance,6,,87.4,,,,,80.8,,,100.6,,,,,99.0,,,,,,,,,,
TravelTime,6,,7.9,,,,,7.3,,,9.1,,,,,8.9,,,,,,,,,,
Right Channeled,6,,,0,,,,,0,,,0,,,,,0,,,,,,,,,
Alignment,6,0,0,1,,,0,0,1,0,0,1,,,0,0,1,,,,,,,,,
Enter Blocked,6,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
HeadwayFact,6,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,,,,,,,,,
Turning Speed,6,24,97,14,,,24,97,14,24,97,14,,,24,97,14,,,,,,,,,
FirstDetect,6,,,,,,6.1,30.5,,6.1,30.5,,,,6.1,30.5,,,,,,,,,,
LastDetect,6,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,
DetectPhase1,6,,,,,,4,4,,5,2,,,,1,6,,,,,,,,,,
DetectPhase2,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
DetectPhase3,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
DetectPhase4,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
SwitchPhase,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
numDetects,6,,,,,,1,2,,1,2,,,,1,2,,,,,,,,,,
DetectPos1,6,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,
DetectSize1,6,,,,,,6.1,1.8,,6.1,1.8,,,,6.1,1.8,,,,,,,,,,
DetectType1,6,,,,,,3,3,,3,3,,,,3,3,,,,,,,,,,
DetectExtend1,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
DetectQueue1,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
DetectDelay1,6,,,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
DetectPos2,6,,,,,,,28.7,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,6,,,,,,,1.8,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,6,,,,,,,3,,,3,,,,,3,,,,,,,,,,
DetectExtend2,6,,,,,,,0,,,0,,,,,0,,,,,,,,,,
Exit Lanes,6,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
CBD,6,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,6,0,0,0,,,0,127,0,28,198,0,,,214,578,0,,,,,,,,,
Up Node,9,11,11,11,,,10,10,10,6,6,6,,,12,12,12,,,,,,,,,
Dest Node,9,6,10,12,,,12,11,6,10,12,11,,,11,6,10,,,,,,,,,
Lanes,9,0,1,1,,,0,0,0,0,2,0,,,0,2,1,,,,,,,,,
Shared,9,0,1,,,,0,0,,0,0,,,,0,0,,,,,,,,,,
Width,9,3.7,3.7,3.7,,,3.7,3.7,3.7,3.7,3.7,3.7,,,3.7,3.7,3.7,,,,,,,,,
Storage,9,,,,,,,,,,,,,,,,33.5,,,,,,,,,
Taper,9,,,,,,,,,,,,,,,,7.6,,,,,,,,,
StLanes,9,,,,,,,,,,,,,,,,1,,,,,,,,,
Grade,9,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,9,,40,,,,,40,,,40,,,,,40,,,,,,,,,,
Phase1,9,,2,3,,,,,,,1,,,,,3,,,,,,,,,,
Phase2,9,,,5,,,,,,,,,,,,4,,,,,,,,,,
PermPhase1,9,2,,,,,,,,,,,,,,,4,,,,,,,,,
LostTime,9,4.5,4.5,4.5,,,4,4,4,4,4.5,4,,,4,4.5,4.5,,,,,,,,,
Lost Time Adjust,9,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
IdealFlow,9,1900,1900,1900,,,1900,1900,1900,1900,1900,1900,,,1900,1900,1900,,,,,,,,,
SatFlow,9,0,1705,1471,,,0,0,0,0,3318,0,,,0,3349,1498,,,,,,,,,
SatFlowPerm,9,0,1702,1471,,,0,0,0,0,3318,0,,,0,3349,1439,,,,,,,,,
Allow RTOR,9,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,
SatFlowRTOR,9,0,0,465,,,0,0,0,0,0,0,,,0,0,109,,,,,,,,,
Volume,9,75,170,400,,,0,0,0,0,160,0,,,0,690,80,,,,,,,,,
Peds,9,6,0,41,,,41,0,6,22,0,6,,,9,0,22,,,,,,,,,
Bicycles,9,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
PHF,9,0.86,0.86,0.86,,,0.92,0.92,0.92,0.77,0.77,0.77,,,0.94,0.94,0.94,,,,,,,,,
Growth,9,100,100,100,,,100,100,100,100,100,100,,,100,100,100,,,,,,,,,
HeavyVehicles,9,11,11,11,,,2,2,2,10,10,10,,,9,9,9,,,,,,,,,
BusStops,9,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
Midblock,9,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
Distance,9,,83.8,,,,,85.0,,,99.0,,,,,98.2,,,,,,,,,,
TravelTime,9,,7.5,,,,,7.7,,,8.9,,,,,8.8,,,,,,,,,,
Right Channeled,9,,,0,,,,,0,,,0,,,,,0,,,,,,,,,
Alignment,9,0,0,1,,,0,0,1,0,0,1,,,0,0,1,,,,,,,,,
Enter Blocked,9,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
HeadwayFact,9,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,,,,,,,,,
Turning Speed,9,24,97,14,,,24,97,14,24,97,14,,,24,97,14,,,,,,,,,
FirstDetect,9,6.1,30.5,6.1,,,,,,,30.5,,,,,30.5,6.1,,,,,,,,,
LastDetect,9,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
DetectPhase1,9,2,2,3,,,,,,,1,,,,,3,4,,,,,,,,,
DetectPhase2,9,0,0,5,,,,,,,0,,,,,4,0,,,,,,,,,
DetectPhase3,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
DetectPhase4,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
SwitchPhase,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
numDetects,9,1,2,1,,,,,,,2,,,,,2,1,,,,,,,,,
DetectPos1,9,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
DetectSize1,9,6.1,1.8,6.1,,,,,,,1.8,,,,,1.8,6.1,,,,,,,,,
DetectType1,9,3,3,3,,,,,,,3,,,,,3,3,,,,,,,,,
DetectExtend1,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
DetectQueue1,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
DetectDelay1,9,0,0,0,,,,,,,0,,,,,0,0,,,,,,,,,
DetectPos2,9,,28.7,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,9,,1.8,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,9,,3,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,9,,0,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,9,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
CBD,9,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,9,0,285,465,,,0,0,0,0,208,0,,,0,734,85,,,,,,,,,
Up Node,12,14,14,14,,,13,13,13,9,9,9,,,16,16,16,,,,,,,,,
Dest Node,12,9,13,16,,,16,14,9,13,16,14,,,14,9,13,,,,,,,,,
Lanes,12,1,0,0,,,1,0,0,0,2,0,,,0,2,0,,,,,,,,,
Shared,12,0,0,,,,0,0,,0,2,,,,0,1,,,,,,,,,,
Width,12,3.7,3.7,3.7,,,3.7,3.7,3.7,3.7,3.7,3.7,,,3.7,3.7,3.7,,,,,,,,,
Storage,12,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,12,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,12,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,12,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,12,,40,,,,,40,,,40,,,,,40,,,,,,,,,,
Phase1,12,,,,,,,,,,2,,,,,6,,,,,,,,,,
PermPhase1,12,8,,,,,4,,,,,,,,6,,,,,,,,,,,
LostTime,12,4.5,4,4,,,4.5,4,4,4,4.5,4,,,4.5,4.5,4,,,,,,,,,
Lost Time Adjust,12,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
IdealFlow,12,1900,1900,1900,,,1900,1900,1900,1900,1900,1900,,,1900,1900,1900,,,,,,,,,
SatFlow,12,1460,0,0,,,1659,0,0,0,3143,0,,,0,3444,0,,,,,,,,,
SatFlowPerm,12,1441,0,0,,,1655,0,0,0,3143,0,,,0,3278,0,,,,,,,,,
Allow RTOR,12,1,1,1,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,
SatFlowRTOR,12,0,109,0,,,0,109,0,0,2,0,,,0,0,0,,,,,,,,,
Volume,12,5,0,5,,,30,0,40,0,560,5,,,5,725,0,,,,,,,,,
Peds,12,14,0,3,,,3,0,14,20,0,7,,,7,0,20,,,,,,,,,
Bicycles,12,0,0,0,,,0,0,0,0,0,1,,,0,0,1,,,,,,,,,
PHF,12,0.50,0.50,0.50,,,0.65,0.65,0.65,0.87,0.87,0.87,,,0.97,0.97,0.97,,,,,,,,,
Growth,12,100,100,100,,,100,100,100,100,100,100,,,100,100,100,,,,,,,,,
HeavyVehicles,12,25,25,25,,,10,10,10,16,16,16,,,6,6,6,,,,,,,,,
BusStops,12,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
Midblock,12,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
Distance,12,,88.4,,,,,101.5,,,98.2,,,,,73.1,,,,,,,,,,
TravelTime,12,,8.0,,,,,9.1,,,8.8,,,,,6.6,,,,,,,,,,
Right Channeled,12,,,0,,,,,0,,,0,,,,,0,,,,,,,,,
Alignment,12,0,0,1,,,0,0,1,0,0,1,,,0,0,1,,,,,,,,,
Enter Blocked,12,0,0,0,,,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
HeadwayFact,12,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,,,,,,,,,
Turning Speed,12,24,97,14,,,24,97,14,24,97,14,,,24,97,14,,,,,,,,,
FirstDetect,12,6.1,,,,,6.1,,,,30.5,,,,6.1,30.5,,,,,,,,,,
LastDetect,12,0.0,,,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,
DetectPhase1,12,8,,,,,4,,,,2,,,,6,6,,,,,,,,,,
DetectPhase2,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
DetectPhase3,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
DetectPhase4,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
SwitchPhase,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
numDetects,12,1,,,,,1,,,,2,,,,1,2,,,,,,,,,,
DetectPos1,12,0.0,,,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,
DetectSize1,12,6.1,,,,,6.1,,,,1.8,,,,6.1,1.8,,,,,,,,,,
DetectType1,12,3,,,,,3,,,,3,,,,3,3,,,,,,,,,,
DetectExtend1,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
DetectQueue1,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
DetectDelay1,12,0,,,,,0,,,,0,,,,0,0,,,,,,,,,,
DetectPos2,12,,,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,12,,,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,12,,,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,12,,,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,12,,0,,,,,0,,,0,,,,,0,,,,,,,,,,
CBD,12,,0,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,12,10,10,0,,,46,62,0,0,650,0,,,0,752,0,,,,,,,,,
Up Node,16,,,,,,15,,15,12,12,,,,,24,24,,,,,,,,,
Dest Node,16,,,,,,24,,12,15,24,,,,,12,15,,,,,,,,,
Lanes,16,,,,,,1,,1,0,2,,,,,2,0,,,,,,,,,
Shared,16,,,,,,0,,,0,0,,,,,0,,,,,,,,,,
Width,16,,,,,,3.7,,3.7,3.7,3.7,,,,,3.7,3.7,,,,,,,,,
Storage,16,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,16,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,16,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,16,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,16,,,,,,56,,,,40,,,,,40,,,,,,,,,,
Phase1,16,,,,,,4,,,,2,,,,,2,,,,,,,,,8,7
PermPhase1,16,,,,,,,,4,,,,,,,,,,,,,,,,,
LostTime,16,,,,,,5.5,,5.5,4,5,,,,,5,4,,,,,,,,,
Lost Time Adjust,16,,,,,,0,,0,0,0,,,,,0,0,,,,,,,,,
IdealFlow,16,,,,,,1900,,1900,1900,1900,,,,,1900,1900,,,,,,,,,
SatFlow,16,,,,,,1772,,1585,0,3120,,,,,3318,0,,,,,,,,,
SatFlowPerm,16,,,,,,1772,,1585,0,3120,,,,,3318,0,,,,,,,,,
Allow RTOR,16,,,,,,1,,1,1,1,,,,,1,1,,,,,,,,,
SatFlowRTOR,16,,,,,,0,,79,0,0,,,,,0,0,,,,,,,,,
Volume,16,,,,,,125,,195,0,600,,,,,560,0,,,,,,,,,
Peds,16,,,,,,0,,0,22,0,,,,,0,22,,,,,,,,,
Bicycles,16,,,,,,0,,0,0,0,,,,,0,0,,,,,,,,,
PHF,16,,,,,,0.95,,0.95,0.97,0.97,,,,,0.94,0.94,,,,,,,,,
Growth,16,,,,,,100,,100,100,100,,,,,100,100,,,,,,,,,
HeavyVehicles,16,,,,,,3,,3,17,17,,,,,10,10,,,,,,,,,
BusStops,16,,,,,,0,,0,0,0,,,,,0,0,,,,,,,,,
Midblock,16,,,,,,0,,,,0,,,,,0,,,,,,,,,,
Distance,16,,,,,,157.6,,,,73.1,,,,,165.2,,,,,,,,,,
TravelTime,16,,,,,,10.1,,,,6.6,,,,,14.9,,,,,,,,,,
Right Channeled,16,,,,,,,,0,,0,,,,,,0,,,,,,,,,
Alignment,16,,,,,,0,,1,0,0,,,,,0,1,,,,,,,,,
Enter Blocked,16,,,,,,0,,0,0,0,,,,,0,0,,,,,,,,,
HeadwayFact,16,,,,,,0.99,,0.99,0.99,0.99,,,,,0.99,0.99,,,,,,,,,
Turning Speed,16,,,,,,24,,14,24,97,,,,,97,14,,,,,,,,,
FirstDetect,16,,,,,,6.1,,6.1,,30.5,,,,,30.5,,,,,,,,,,
LastDetect,16,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,
DetectPhase1,16,,,,,,4,,4,,2,,,,,2,,,,,,,,,,
DetectPhase2,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
DetectPhase3,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
DetectPhase4,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
SwitchPhase,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
numDetects,16,,,,,,1,,1,,2,,,,,2,,,,,,,,,,
DetectPos1,16,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,
DetectSize1,16,,,,,,6.1,,6.1,,1.8,,,,,1.8,,,,,,,,,,
DetectType1,16,,,,,,3,,3,,3,,,,,3,,,,,,,,,,
DetectExtend1,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
DetectQueue1,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
DetectDelay1,16,,,,,,0,,0,,0,,,,,0,,,,,,,,,,
DetectPos2,16,,,,,,,,,,28.7,,,,,28.7,,,,,,,,,,
DetectSize2,16,,,,,,,,,,1.8,,,,,1.8,,,,,,,,,,
DetectType2,16,,,,,,,,,,3,,,,,3,,,,,,,,,,
DetectExtend2,16,,,,,,,,,,0,,,,,0,,,,,,,,,,
Exit Lanes,16,,,,,,0,,,,0,,,,,0,,,,,,,,,,
CBD,16,,,,,,,,,,0,,,,,,,,,,,,,,,
Lane Group Flow,16,,,,,,132,,205,0,619,,,,,596,0,,,,,,,,,
Up Node,17,25,,25,,,,,,,24,24,,,2,2,,,,,,,,,,
Dest Node,17,24,,2,,,,,,,2,25,,,25,24,,,,,,,,,,
Lanes,17,0,,0,,,,,,,2,0,,,1,1,,,,,,,,,,
Shared,17,0,,,,,,,,,0,,,,0,0,,,,,,,,,,
Width,17,3.7,,3.7,,,,,,,3.7,3.7,,,3.7,3.7,,,,,,,,,,
Storage,17,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,17,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,17,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,17,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,17,40,,,,,,,,,40,,,,,40,,,,,,,,,,
Phase1,17,,,,,,,,,,4,,,,9,-1,,,,,,,,,,6
Phase2,17,,,,,,,,,,2,,,,,,,,,,,,,,,
LostTime,17,4,,4,,,,,,,5,4,,,4.5,4,,,,,,,,,,
Lost Time Adjust,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
IdealFlow,17,1900,,1900,,,,,,,1900,1900,,,1900,1900,,,,,,,,,,
SatFlow,17,0,,0,,,,,,,3259,0,,,1690,1779,,,,,,,,,,
SatFlowPerm,17,0,,0,,,,,,,3259,0,,,1690,1779,,,,,,,,,,
Allow RTOR,17,1,,1,,,,,,,1,1,,,1,1,,,,,,,,,,
SatFlowRTOR,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
Volume,17,0,,0,,,,,,,725,0,,,280,425,,,,,,,,,,
Peds,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
Bicycles,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
PHF,17,0.76,,0.76,,,,,,,0.93,0.93,,,0.91,0.91,,,,,,,,,,
Growth,17,100,,100,,,,,,,100,100,,,100,100,,,,,,,,,,
HeavyVehicles,17,0,,0,,,,,,,12,12,,,8,8,,,,,,,,,,
BusStops,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
Midblock,17,0,,,,,,,,,0,,,,,0,,,,,,,,,,
Distance,17,25.3,,,,,,,,,38.2,,,,,374.4,,,,,,,,,,
TravelTime,17,2.3,,,,,,,,,3.4,,,,,33.7,,,,,,,,,,
Right Channeled,17,,,0,,,,,,,,0,,,,2,,,,,,,,,,
Right Radius,17,,,,,,,,,,,,,,,15.2,,,,,,,,,,
Add Lanes,17,,,,,,,,,,,,,,,0,,,,,,,,,,
Alignment,17,0,,1,,,,,,,0,1,,,0,0,,,,,,,,,,
Enter Blocked,17,0,,0,,,,,,,0,0,,,0,0,,,,,,,,,,
HeadwayFact,17,0.99,,0.99,,,,,,,0.99,0.99,,,0.99,0.99,,,,,,,,,,
Turning Speed,17,24,,14,,,,,,,97,14,,,24,97,,,,,,,,,,
FirstDetect,17,,,,,,,,,,30.5,,,,6.1,30.5,,,,,,,,,,
